timestamp,symbol,type,entry,stop_loss,take_profit,atr,rr,notes,outcome,pnl_percentage,exit_price,exit_time,pnl_usd,position_size,balance_after_trade
2025-08-18 09:00:00,BTCUSDT,LONG_HAMMER,115038.46,114017.75145125,116739.64091458,680.472365830868,1.67,hammer,LOSS,-1.0,114017.75145125,2025-09-09 01:00:00,-102.19174558208661,0.10011843802742182,10116.982812626575
2025-08-15 17:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,117586.92,116856.70333701,118803.94777164,486.8111086569715,1.67,wyckoff_spring,LOSS,-1.0,116856.70333701,2025-09-09 01:00:00,-101.16982812626574,0.13854768489123198,10015.81298450031
2025-08-15 16:00:00,BTCUSDT,LONG_HAMMER,117353.36,116591.41631294,118623.2661451,507.9624580386159,1.67,hammer,LOSS,-1.0,116591.41631294,2025-09-09 01:00:00,-100.1581298450031,0.13145082969512883,9915.654854655306
2025-08-15 15:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,117275.22,118064.31663798,115960.0589367,526.0644253215718,1.67,wyckoff_upthrust,WIN,1.666666666666673,115960.0589367,2025-09-09 01:00:00,165.2609142442557,0.12565830821480067,10080.915768899562
2025-08-15 08:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,118878.72,119787.81046948,117363.56921753,606.0603129897462,1.67,shooting_star,WIN,1.6666666666703325,117363.56921753,2025-09-09 01:00:00,168.01526281536223,0.11089012708125603,10248.931031714925
2025-08-14 19:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,117945.92,118811.96912151,116502.50479749,577.3660810034104,1.67,shooting_star,WIN,1.6666666666589656,116502.50479749,2025-09-09 01:00:00,170.81551719445946,0.11834122080564374,10419.746548909385
2025-08-14 18:00:00,BTCUSDT,LONG_HAMMER,118089.75,117174.69224432,119614.84625947,610.0385037888809,1.67,hammer,LOSS,-1.0,117174.69224432,2025-09-09 01:00:00,-104.19746548909384,0.11386982389069265,10315.54908342029
2025-08-14 18:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,118089.75,117174.69224432,119614.84625947,610.0385037888809,1.67,wyckoff_spring,LOSS,-1.0,117174.69224432,2025-09-09 01:00:00,-103.15549083420291,0.11273112565178572,10212.393592586088
2025-08-14 16:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,117866.42,118810.8316873,116292.40052117,629.607791532249,1.67,wyckoff_upthrust,WIN,1.666666666663133,116292.40052117,2025-09-09 01:00:00,170.20655987607392,0.10813497683179366,10382.600152462162
2025-08-14 12:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,118866.37,117418.74925914,121279.07123477,965.0804939075526,1.67,wyckoff_spring,LOSS,-1.0,117418.74925914,2025-09-09 01:00:00,-103.82600152462163,0.07172182505684514,10278.774150937541
2025-08-14 08:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,121637.78,123143.65580903,119127.98698495,1003.917206020762,1.67,shooting_star,WIN,1.6666666666666732,119127.98698495,2025-09-09 01:00:00,171.31290251562635,0.06825778121476413,10450.087053453168
